time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.0004193784,2.56835154921e-07,1.31257124227e-05,0.0,0.0,0.0,0.0419378385573,-0.00071670796725,0.00512361443184,0.0,444.28596018673284,445.5441886700827,445.1943600201594,445.01843055162925
0.04,-2.99074273936e-08,5.85208520478e-10,10.0015746726,6.28318034141,0.000140318621417,0.0,-2.99074273936e-06,5.85208520478e-08,0.0735915841468,-0.00498556024617,0.012155060991,0.0,433.3816409750488,435.15064167467045,436.8622400908524,435.79330060384666
0.06,-4.76235354805e-07,-1.19227918129e-08,10.003839043,6.28312760554,0.000390973855315,0.0,-4.16420500018e-05,-1.30932088538e-06,0.152845451878,-0.0146783761462,0.016041965692,0.0,477.73292147936,478.62092015067225,480.15819376001264,477.94759080507015
0.08,-2.08927769599e-06,-1.53254745117e-07,10.0069294852,6.28284789468,0.000718798401341,0.0,-0.000119662184117,-1.28238744451e-05,0.156198769321,-0.0199427204484,0.0197796741309,0.0,407.10163768780046,408.10349180206526,407.8924954761819,406.47999025213664
0.1,-6.36126922732e-06,-1.29163861329e-06,10.010705194,6.28246343477,0.0011782748368,0.0,-0.000307536969016,-0.000101014512372,0.221372113326,-0.0145771825564,0.00847631597119,0.0,467.72887158827535,465.08087429975564,465.4475972987775,466.7054727452676
0.12000000000000001,-1.62956537277e-05,-5.629985272e-06,10.0163818076,6.28222122153,0.00136825701956,0.0,-0.000685901481024,-0.000332820153499,0.346289246211,-0.00464436689655,0.0148725435058,0.0,515.7720485095454,517.1251198565793,516.1093042511308,518.2079695888904
0.14,-3.29411602977e-05,-1.43491119992e-05,10.0234851566,6.2821378939,0.00167622315446,0.0,-0.000978649175971,-0.000539092519224,0.364045653354,-0.000271791767065,0.0102866379724,0.0,422.2323320706771,421.0438590518667,421.6713942966923,422.80296954841043
0.16,-5.6009931326e-05,-2.73153551383e-05,10.0308895806,6.28213266014,0.00188420573607,0.0,-0.00132822792686,-0.000757531794681,0.376396746124,-0.000907521778367,0.0124078744797,0.0,415.62350386726075,416.18066234346617,417.36036607702295,417.1939087018251
0.18,-8.71709669671e-05,-4.50338956921e-05,10.0388949877,6.28211597657,0.00213317520651,0.0,-0.00178787563726,-0.0010143222607,0.424143959751,0.000805294655351,0.0136822220384,0.0,450.8172197932105,451.1258483061128,449.91131498198973,450.3271061414175
0.19999999999999998,-0.000128152789006,-6.79392085597e-05,10.0478649366,6.28213744605,0.00242048915849,0.0,-0.00231030656658,-0.00127620902606,0.472850934753,0.00408052879843,0.0189108951426,0.0,452.10947962288117,453.3712308925691,449.7908342621157,450.58573043720384
0.21999999999999997,-0.00018051248634,-9.61273419767e-05,10.0579022284,6.28222333732,0.00282412458704,0.0,-0.00292566316684,-0.00154260431564,0.530878245151,0.00115454100571,0.0260407655052,0.0,459.1296108621533,460.82318114814785,460.39169850484404,459.6966827128284
0.23999999999999996,-0.000246085105284,-0.000129384022247,10.0690574438,6.2822509572,0.00336064380901,0.0,-0.00363159872762,-0.00178306371142,0.584643294248,-0.00185512934747,0.0316450338554,0.0,456.26685385414686,457.6070699256118,455.8133154863955,455.0912670216266
0.25999999999999995,-0.000325902945477,-0.000167043157298,10.0809265378,6.28222881776,0.00399445803522,0.0,-0.00435018529166,-0.00198284979366,0.602266101643,0.003615362587,0.0329967358217,0.0,421.85559613978916,422.2059701310186,421.31671427813365,422.73308880236203
0.27999999999999997,-0.000425538376608,-0.00020972486009,10.0941721499,6.28230269801,0.00467139664455,0.0,-0.00561335782137,-0.00228532048552,0.72229511687,0.00538905740204,0.0271651163389,0.0,513.0487543157819,511.8055581995106,513.6192957108898,513.9964076595968
0.3,-0.000549008118979,-0.000257547867871,10.1090541525,6.2824189519,0.00525436529183,0.0,-0.00673361641574,-0.00249698029255,0.765905142942,0.00127256770321,0.0182582290608,0.0,447.61251573729857,445.433155992449,448.1149921613003,447.1100382178129
0.32,-0.000693466578158,-0.000308914790613,10.1242727077,6.28245965862,0.00562020070913,0.0,-0.00771222950224,-0.00263971198168,0.75595037584,0.00679621998633,0.0194165347965,0.0,393.5538773336464,393.87532317601796,393.87886886505277,395.4081884627649
0.34,-0.000860497524471,-0.000363359927517,10.1397047522,6.28259812779,0.00600917879122,0.0,-0.00899086512904,-0.00280480170872,0.787254070272,0.0090522232146,0.020554415426,0.0,435.1878010215107,435.47337055150854,435.42765758918466,435.99329967559663
0.36000000000000004,-0.00105521986184,-0.000420912387629,10.1559681677,6.28277951862,0.00642091613828,0.0,-0.0104813686078,-0.00295044430249,0.839087480426,0.00988452629134,0.0194150835716,0.0,455.1048709781042,454.83122115823096,454.4203768175688,454.62033634900206
0.38000000000000006,-0.00128144853495,-0.000480970450251,10.1733733668,6.28297736793,0.00682827276496,0.0,-0.0121414987037,-0.00305536195972,0.901432433238,0.0104480486969,0.0132417610877,0.0,464.89717832439425,463.4439236800485,464.42786997572944,464.5603021477229
0.4000000000000001,-0.00153836852668,-0.0005425067938,10.1915034417,1.95727612269e-05,0.0070937479078,0.0,-0.0135505004694,-0.00309827239519,0.911575054136,0.0165391964838,0.0121104599879,0.0,415.38197070874463,415.0841705545066,414.09742162134387,415.70145225135377
0.4200000000000001,-0.00182184515328,-0.000604437889288,10.2095302906,0.000356065195612,0.00733864920843,0.0,-0.0147971621901,-0.00309483715358,0.891109831543,0.0131602899425,0.014430848262,0.0,382.86604022094895,383.52759505643087,383.67903192468015,382.7155103459116
